site_id,site_name,feed_id,notification_enabled,feed_type,feed_url,catalog_id,catalog_status,catalog_created_date,last_run,catalog_connector_status,total,successful,failed,active_prod,arch_prod,manual_file_count,api_count,automated_ftp_count,automated_http_count,manual_ftp_count,manual_http_count
26151,poolsupplyworld,222,true,delimited,http://content.poolsupplyworld.com/feed/bronto_psw.csv,590,active,2015-09-10 16:29:11,2017-11-03 02:00:01,disabled,658,655,3,33537,3187,3,0,0,644,0,11
34475,successories,928,true,delimited,https://s3.amazonaws.com/successories-com/product-export.csv,878,active,2015-10-29 13:25:32,2017-11-03 04:00:02,disabled,135,135,0,33104,6733,0,0,0,131,0,2
38479,enasco,986,true,delimited,ftp://206.208.116.48,4796,active,2017-06-05 20:09:44,2017-11-03 08:00:02,disabled,103,100,3,32841,0,2,0,99,0,2,0
37094,stanleygibbons,862,false,xml,https://www.stanleygibbons.com/feeds/bronto_all_products.xml,3695,active,2016-07-21 13:29:10,2017-11-03 05:00:04,disabled,178,178,0,32629,1951,0,0,0,175,0,1
26097,theguildartfulhomecomsandbox,135,true,xml,https://www.artfulhome.com/products-bronto.xml,665,active,2015-09-21 16:43:41,2017-11-03 08:00:02,disabled,771,746,25,32419,24547,0,0,0,764,0,6
26011,artfulhome,1145,true,xml,https://www.artfulhome.com/products-bronto.xml,520,active,2015-09-02 17:42:48,2017-11-03 09:00:03,disabled,25,24,1,32419,576,0,0,0,24,0,1
37820,ruralking,744,false,delimited,https://www.ruralking.com/media/feed/rk_google_2015_01.txt,4321,active,2017-01-11 14:31:00,2017-11-03 11:00:02,disabled,253,221,32,31608,5369,2,0,0,249,0,1
37650,artbeads,643,false,xml,null,4185,active,2016-11-16 17:40:02,2017-09-14 18:09:45,disabled,1,1,0,31410,0,1,0,0,0,0,0
35771,thatfishplacethatpetplace,181,false,delimited,ftp://ftp.ord1-1.websitesettings.com,805,active,2015-10-15 17:54:36,2017-11-03 12:00:02,disabled,787,764,23,31206,35037,24,0,727,0,36,0
14990,reedsjewelersinc,934,false,delimited,https://www.reedsadmin.com/reeds.txt,806,active,2015-10-15 19:23:55,2017-11-03 07:00:02,disabled,118,111,7,30340,3665,1,0,0,106,2,9
36356,sparkjop,899,true,xml,https://vcplstor6ews6v5ukmsue.blob.core.windows.net/catalog/googleshopping/products.xml,1236,active,2016-01-18 14:42:00,2017-11-03 04:00:02,disabled,154,139,15,30321,646,0,0,0,148,0,5
34499,everything5pounds,488,true,delimited,https://www.everything5pounds.com/feeds/google/product-feed.txt,248,active,2015-08-10 13:19:22,2017-11-03 10:00:02,disabled,305,146,159,30183,112366,7,0,0,293,0,5
38171,victorytailgate,927,true,delimited,http://www.victorytailgate.com/google-feeds/combined-vt.txt,4675,active,2017-04-20 19:18:15,2017-11-03 05:00:04,disabled,136,131,5,29709,634,0,0,0,130,0,6
11656,americanmuscle,2,true,delimited,http://transport.productsup.io/ac9184ebd20e2a4463bd/channel/54315/bronto_combo.txt,3,active,2015-03-23 11:43:54,2017-11-03 09:00:02,disabled,968,933,35,29514,6899,5,0,0,938,0,24
37071,karmaloop,471,true,delimited,http://api.godatafeed.com/v1/aaadd9da25744d6689fa4dbd84ee215b/feeds/VE05b1lYa0NKaDF0djlWcGpFajNrQT09/download,3765,active,2016-08-05 16:10:34,2017-11-02 20:00:02,disabled,452,445,7,29414,72253,0,0,0,450,0,2
36040,mxstore,256,false,delimited,https://www.mxstore.com.au/export/feed/bronto_products.csv,1109,active,2015-12-13 22:28:20,2017-11-02 18:00:02,disabled,625,561,64,29316,31267,0,0,226,389,8,2
37124,dg_b2c_uk,462,true,xml,http://downloads.designersguild.com/Bronto/Product/UK/Product.xml,3749,active,2016-08-01 15:55:40,2017-11-03 01:00:02,disabled,459,409,50,28904,5702,0,0,0,450,0,8
28319,squadron,316,true,delimited,null,2759,active,2016-03-18 16:39:37,2016-03-23 18:42:52,disabled,3,1,2,28552,0,3,0,0,0,0,0
37620,bramhopegroup,676,false,delimited,https://system.netsuite.com/core/media/media.nl?id=510297&c=648491&h=6986ebba5a338ac1db5c&_xt=.csv,4149,active,2016-11-07 15:24:19,2017-11-03 02:00:02,disabled,328,314,14,28013,13,1,0,11,308,3,5
35763,calvinklein,952,true,delimited,ftps://52.77.163.213,856,active,2015-10-26 05:45:25,2017-11-02 22:00:02,disabled,107,41,66,27524,6080,17,0,66,0,24,0
